timestamp,elapsed_seconds,system_power_in_mw_raw,system_load_mw_raw,gpu_device_percent,gpu_renderer_percent,process_cpu_percent,process_rss_kb,battery_percent,battery_temperature_c,virtual_temperature_c
2026-08-02T16:07:28+08:00,0,45511,45511,74,72,10.9,41760,79,30.85,35.29
2026-08-02T16:07:33+08:00,5,45511,45511,74,73,0.0,41856,79,30.85,35.29
2026-08-02T16:07:38+08:00,10,45511,45511,77,76,0.0,41776,79,30.85,35.29
2026-08-02T16:07:43+08:00,15,45511,45511,75,73,0.0,41776,79,30.85,35.29
2026-08-02T16:07:48+08:00,20,45511,45511,78,76,0.0,41696,79,30.85,35.29
2026-08-02T16:07:54+08:00,26,45511,45511,76,75,0.0,41696,79,30.85,35.29
2026-08-02T16:07:59+08:00,31,45511,45511,75,73,0.0,41696,79,30.85,35.29
2026-08-02T16:08:04+08:00,36,45511,45511,74,72,0.0,41696,79,30.85,35.29
2026-08-02T16:08:09+08:00,41,40984,40984,75,73,0.0,41696,79,30.86,35.39
2026-08-02T16:08:14+08:00,46,40984,40984,74,72,0.0,41696,79,30.86,35.39
2026-08-02T16:08:19+08:00,51,40984,40984,72,70,0.0,41696,79,30.86,35.39
2026-08-02T16:08:24+08:00,56,40984,40984,72,71,0.0,41696,79,30.86,35.39
