timestamp,elapsed_seconds,system_power_in_mw_raw,system_load_mw_raw,gpu_device_percent,gpu_renderer_percent,process_cpu_percent,process_rss_kb,battery_percent,battery_temperature_c,virtual_temperature_c
2026-08-02T15:59:45+08:00,0,18616,18616,64,62,8.0,42304,79,30.82,35.00
2026-08-02T15:59:50+08:00,5,18616,18616,59,58,0.0,42320,79,30.82,35.00
2026-08-02T15:59:55+08:00,10,18616,18616,60,59,0.0,42224,79,30.82,35.00
2026-08-02T16:00:01+08:00,15,18616,18616,59,58,0.0,42224,79,30.82,35.00
2026-08-02T16:00:06+08:00,21,18616,18616,59,58,0.0,42144,79,30.82,35.00
2026-08-02T16:00:11+08:00,26,30331,30331,60,59,0.0,42144,79,30.81,34.89
2026-08-02T16:00:16+08:00,31,30331,30331,60,59,0.0,42144,79,30.81,34.89
2026-08-02T16:00:21+08:00,36,30331,30331,60,59,0.0,42144,79,30.81,34.89
2026-08-02T16:00:26+08:00,41,30331,30331,60,59,0.0,42144,79,30.81,34.89
2026-08-02T16:00:31+08:00,46,30331,30331,58,57,0.0,42144,79,30.81,34.89
2026-08-02T16:00:36+08:00,51,30331,30331,58,57,0.0,42144,79,30.81,34.89
2026-08-02T16:00:41+08:00,56,30331,30331,59,58,0.0,42144,79,30.81,34.89
2026-08-02T16:00:47+08:00,61,30331,30331,59,58,0.0,42144,79,30.81,34.89
2026-08-02T16:00:52+08:00,67,30331,30331,60,59,0.0,42144,79,30.81,34.89
2026-08-02T16:00:57+08:00,72,30331,30331,59,58,0.0,42144,79,30.81,34.89
2026-08-02T16:01:02+08:00,77,30331,30331,59,58,0.0,42144,79,30.81,34.89
2026-08-02T16:01:07+08:00,82,30331,30331,58,57,0.0,40608,79,30.81,34.89
2026-08-02T16:01:12+08:00,87,30957,30957,59,58,0.0,40608,79,30.81,34.89
2026-08-02T16:01:17+08:00,92,30957,30957,60,59,0.0,40608,79,30.81,34.89
2026-08-02T16:01:22+08:00,97,30957,30957,58,57,0.0,40608,79,30.81,34.89
2026-08-02T16:01:28+08:00,102,30957,30957,62,60,0.0,40672,79,30.81,34.89
2026-08-02T16:01:33+08:00,108,30957,30957,60,59,0.0,40624,79,30.81,34.89
2026-08-02T16:01:38+08:00,113,30957,30957,58,57,0.0,40624,79,30.81,34.89
2026-08-02T16:01:43+08:00,118,30957,30957,60,59,0.0,40640,79,30.81,34.89
2026-08-02T16:01:48+08:00,123,30957,30957,58,58,0.0,40672,79,30.81,34.89
2026-08-02T16:01:53+08:00,128,30957,30957,58,56,0.0,40624,79,30.81,34.89
2026-08-02T16:01:58+08:00,133,30957,30957,59,58,0.0,40624,79,30.81,34.89
2026-08-02T16:02:03+08:00,138,30957,30957,58,57,0.0,40624,79,30.81,34.89
2026-08-02T16:02:08+08:00,143,30957,30957,58,57,0.0,40624,79,30.81,34.89
2026-08-02T16:02:14+08:00,149,30237,30237,58,57,0.0,40624,79,30.81,34.89
2026-08-02T16:02:19+08:00,154,30237,30237,59,58,0.0,40624,79,30.81,34.89
2026-08-02T16:02:24+08:00,159,30237,30237,58,57,0.0,40624,79,30.81,34.89
2026-08-02T16:02:29+08:00,164,30237,30237,58,58,0.0,40624,79,30.81,34.89
2026-08-02T16:02:34+08:00,169,30237,30237,59,58,0.0,40624,79,30.81,34.89
2026-08-02T16:02:39+08:00,174,30237,30237,59,58,0.0,40624,79,30.81,34.89
2026-08-02T16:02:44+08:00,179,30237,30237,60,59,0.0,40624,79,30.81,34.89
