timestamp,elapsed_seconds,system_power_in_mw_raw,system_load_mw_raw,gpu_device_percent,gpu_renderer_percent,process_cpu_percent,process_rss_kb,battery_percent,battery_temperature_c,virtual_temperature_c
2026-08-02T16:03:37+08:00,0,34917,34917,80,79,13.1,40944,79,30.81,34.89
2026-08-02T16:03:42+08:00,5,34917,34917,80,79,4.6,46160,79,30.81,34.89
2026-08-02T16:03:47+08:00,10,34917,34917,80,79,7.2,46320,79,30.81,34.89
2026-08-02T16:03:52+08:00,15,34917,34917,79,78,7.4,46400,79,30.81,34.89
2026-08-02T16:03:57+08:00,21,34917,34917,71,71,3.8,46416,79,30.81,34.89
2026-08-02T16:04:03+08:00,26,34917,34917,76,75,5.9,46464,79,30.81,34.89
2026-08-02T16:04:08+08:00,31,34917,34917,79,77,5.2,46480,79,30.81,34.89
2026-08-02T16:04:13+08:00,36,40205,40205,78,77,6.9,46480,79,30.82,35.00
2026-08-02T16:04:18+08:00,41,40205,40205,80,79,5.9,46480,79,30.82,35.00
2026-08-02T16:04:23+08:00,46,40205,40205,80,79,5.1,46480,79,30.82,35.00
2026-08-02T16:04:28+08:00,51,40205,40205,79,78,4.5,46480,79,30.82,35.00
2026-08-02T16:04:33+08:00,56,40205,40205,78,77,6.5,46480,79,30.82,35.00
2026-08-02T16:04:38+08:00,61,40205,40205,79,78,5.8,46480,79,30.82,35.00
2026-08-02T16:04:43+08:00,67,40205,40205,80,78,7.2,46480,79,30.82,35.00
2026-08-02T16:04:49+08:00,72,40205,40205,80,79,5.3,46480,79,30.82,35.00
2026-08-02T16:04:54+08:00,77,40205,40205,80,79,6.4,46480,79,30.82,35.00
2026-08-02T16:04:59+08:00,82,40205,40205,78,76,6.7,46480,79,30.82,35.00
2026-08-02T16:05:04+08:00,87,40205,40205,79,78,6.1,46480,79,30.82,35.00
2026-08-02T16:05:09+08:00,92,39968,39968,80,79,6.1,46480,79,30.82,35.00
2026-08-02T16:05:14+08:00,97,39968,39968,80,79,7.3,46480,79,30.82,35.00
2026-08-02T16:05:19+08:00,102,39968,39968,80,79,6.5,46480,79,30.82,35.00
2026-08-02T16:05:24+08:00,107,39968,39968,79,77,4.8,46480,79,30.82,35.00
2026-08-02T16:05:30+08:00,113,39968,39968,79,78,5.7,46480,79,30.82,35.00
2026-08-02T16:05:35+08:00,118,39968,39968,78,76,6.3,46480,79,30.82,35.00
2026-08-02T16:05:40+08:00,123,39968,39968,78,77,6.7,46480,79,30.82,35.00
2026-08-02T16:05:45+08:00,128,39968,39968,78,77,5.3,46480,79,30.82,35.00
2026-08-02T16:05:50+08:00,133,39968,39968,78,76,6.7,46480,79,30.82,35.00
2026-08-02T16:05:55+08:00,138,39968,39968,77,76,5.7,46400,79,30.82,35.00
2026-08-02T16:06:00+08:00,143,39968,39968,77,75,5.0,46400,79,30.82,35.00
2026-08-02T16:06:05+08:00,148,39968,39968,77,76,4.3,46400,79,30.82,35.00
2026-08-02T16:06:10+08:00,154,39842,39842,77,76,3.4,46448,79,30.83,35.09
2026-08-02T16:06:16+08:00,159,39842,39842,76,75,3.3,46448,79,30.83,35.09
2026-08-02T16:06:21+08:00,164,39842,39842,79,78,7.1,46448,79,30.83,35.09
2026-08-02T16:06:26+08:00,169,39842,39842,78,76,5.5,46448,79,30.83,35.09
2026-08-02T16:06:31+08:00,174,39842,39842,78,76,5.5,46448,79,30.83,35.09
2026-08-02T16:06:36+08:00,179,39842,39842,78,77,5.9,46448,79,30.83,35.09
